event_name,event_date,fighter1,fighter1_best,fighter1_avg,fighter2,fighter2_best,fighter2_avg
UFC: The Ultimate Fighter 25 Finale: Johnson vs. Gaethje,,Juliana Lima,,,Tecia Torres,,
UFC: The Ultimate Fighter 25 Finale: Johnson vs. Gaethje,,Drakkar Klose,,,Marc Diakiese,,
UFC: The Ultimate Fighter 25 Finale: Johnson vs. Gaethje,,Brad Tavares,,,Elias Theodorou,,
UFC: The Ultimate Fighter 25 Finale: Johnson vs. Gaethje,,Jordan Johnson,,,Marcel Fortuna,,
UFC: The Ultimate Fighter 26 Finale,,Nicco Montano,,,Roxanne Modafferi,,
UFC: The Ultimate Fighter 26 Finale,,Sean O'Malley,,,Terrion Ware,,
UFC: The Ultimate Fighter 26 Finale,,Eric Spicely,,,Gerald Meerschaert,,
UFC: The Ultimate Fighter 26 Finale,,Brett Johns,,,Joe Soto,,
UFC: The Ultimate Fighter 26 Finale,,Andrew Sanchez,,,Ryan Janes,,
UFC: The Ultimate Fighter 26 Finale,,Deanna Bennett,,,Melinda Fabian,,
UFC: The Ultimate Fighter 26 Finale,,Christina Marks,,,Montana de La Rosa,,
UFC: The Ultimate Fighter 26 Finale,,Karine Gevorgyan,,,Rachael Ostovich,,
UFC: The Ultimate Fighter 26 Finale,,Ariel Beck,,,Shana Dobson,,
UFC: The Ultimate Fighter 26 Finale,,Emily Whitmire,,,Gillian Robertson,,
UFC: The Ultimate Fighter 26 Finale,,Barb Honchak,,,Lauren Murphy,,
UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,,Brad Tavares,,,Israel Adesanya,,
UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,,Joe Giannetti,,,Mike Trizano,,
UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,,Brad Katona,,,Jay Cucciniello,,
UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,,Alex Caceres,,,Martin Bravo,,
UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,,Barb Honchak,,,Roxanne Modafferi,,
UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,,Alessio Di Chirico,,,Julian Marquez,,
UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,,Montana de La Rosa,,,Rachael Ostovich,,
UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,,Luis Pena,,,Richie Smullen,,
UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,,Allan Zuniga,,,John Gunther,,
UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,,Bryce Mitchell,,,Tyler Diamond,,
UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,,Matt Bessette,,,Steven Peterson,,
UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,,Gerald Meerschaert,,,Oskar Piechota,,
UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,,Kamaru Usman,,,Rafael Dos Anjos,,
UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,,Juan Espino,,,Justin Frazier,,
UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,,Macy Chiasson,,,Pannie Kianzad,,
UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,,Bryan Caraway,,,Pedro Munhoz,,
UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,,Darren Stewart,,,Edmen Shahbazyan,,
UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,,Antonina Shevchenko,,,Ji Yeon Kim,,
UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,,Kevin Aguilar,,,Rick Glenn,,
UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,,Alex Perez,,,Joseph Benavidez,,
UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,,Maurice Greene,,,Michel Batista,,
UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,,Julia Stoliarenko,,,Leah Letson,,
UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,,Darrell Horcher,,,Roosevelt Roberts,,
UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,,Ricky Rainey,,,Tim Means,,
UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,,Chris Gutierrez,,,Raoni Barcelos,,
UFC,,Israel Adesanya,1.465,1.465,Robert Whittaker,2.8,2.8
UFC,,Rafael Dos Anjos,3.0,3.0,Rafael Fiziev,1.408,1.408
UFC,,Jamahal Hill,1.392,1.392,Johnny Walker,3.1,3.1
UFC,,Jamie Pickett.,3.2,3.2,Kyle Daukaus,1.37,1.37
UFC,,Alan Baudot,3.2,3.2,Parker Porter,1.37,1.37
UFC,,Jim Miller,2.46,2.46,Nikolas Motta,1.575,1.575
UFC,,Abdul Razak Alhassan,2.5,2.5,Joaquin Buckley,1.562,1.562
UFC,,David Onama,1.595,1.595,Gabriel Benitez,2.42,2.42
UFC,,Jessica-Rose Clark,1.532,1.532,Stephanie Egger,2.58,2.58
UFC,,Alexander Romanov,,,Ilir Latifi,,
UFC,,Julian Marquez,,,Kyle Daukaus,,
UFC,,Austin Lingo,,,Jonathan Pearce,,
UFC,,Khalid Taha,,,Mario Bautista,,
UFC,,Chas Skelly,1.488,1.488,Mark Striegl,2.72,2.72
UFC,,Diana Belbirr,1.833,1.833,Gloria de Paula,2.02,2.02
UFC,,Chad Anheliger,1.37,1.37,Jesse Strader,3.2,3.2
UFC,,Christian Rodriguez,4.1,4.1,Jonathan Pearce,1.256,1.256
UFC,,Jay Perrin,4.1,4.1,Mario Bautista,1.256,1.256
UFC,,Magomed Ankalaev,1.139,1.139,Thiago Santos,6.2,6.2
UFC,,Marlon Moraes,3.5,3.5,Yadong Song,1.323,1.323
UFC,,Alex Caceres,3.2,3.2,Sodiq Yusuff,1.37,1.37
UFC,,Karl Roberson,1.704,1.704,Khalil Rountree Jr,2.2,2.2
UFC,,Drew Dober,1.617,1.617,Terrance McKinney,2.36,2.36
UFC,,Alex Pereira,1.5,1.5,Bruno Silva,2.68,2.68
UFC,,A.J. Fletcher,2.72,2.72,Matthew Semelsberger,1.5,1.5
UFC,,Gillian Robertson,1.833,1.833,Jj Aldrich,2.02,2.02
UFC,,Javid Basharat,1.633,1.633,Trevin Jones,2.34,2.34
UFC,,Damon Jackson,1.847,1.847,Kamuela Kirk.,2.0,2.0
UFC,,Miranda Maverick,1.267,1.267,Sabina Mazo,4.0,4.0
UFC,,Cody Brundage,2.14,2.14,Dalcha Lungiambula,1.746,1.746
UFC,,Guido Cannetti,2.54,2.54,Kris Moutinho,1.543,1.543
