fighter_url,elo_rating,peak_elo,fights_processed,elo_source
http://www.ufcstats.com/fighter-details/1d147d4163a6989b,1509.35,1509.35,2,ufc_fights
http://www.ufcstats.com/fighter-details/4985113c0928aa62,1464.55,1464.55,1,ufc_fights
http://www.ufcstats.com/fighter-details/1dab0d1d81dd06db,1447.83,1506.61,7,ufc_fights
http://www.ufcstats.com/fighter-details/0cf935519d439ba6,1475.14,1583.48,7,ufc_fights
http://www.ufcstats.com/fighter-details/669a3cb6e394f515,1449.26,1470.0,2,ufc_fights
http://www.ufcstats.com/fighter-details/2f732dd9210d301f,1511.91,1671.15,27,ufc_fights
http://www.ufcstats.com/fighter-details/184b955181bdef52,1467.35,1467.35,1,ufc_fights
http://www.ufcstats.com/fighter-details/0aa92558424ced9e,1612.2,1662.61,25,ufc_fights
http://www.ufcstats.com/fighter-details/bad28b7b34f334de,1468.84,1468.84,1,ufc_fights
http://www.ufcstats.com/fighter-details/738acab0c6934dd8,1470.0,1530.0,2,ufc_fights
http://www.ufcstats.com/fighter-details/3e514f437c51ce0a,1465.21,1465.21,1,ufc_fights
http://www.ufcstats.com/fighter-details/21f2974fd08085e3,1465.09,1465.09,1,ufc_fights
http://www.ufcstats.com/fighter-details/1ccf4e7caff270df,1627.5,1776.04,42,ufc_fights
http://www.ufcstats.com/fighter-details/9114c8ded5ccd71d,1469.94,1469.94,1,ufc_fights
http://www.ufcstats.com/fighter-details/3746e21bb508391a,1472.06,1472.06,1,ufc_fights
http://www.ufcstats.com/fighter-details/a7b48e18ca27795d,1475.06,1640.1,14,ufc_fights
http://www.ufcstats.com/fighter-details/33e33d51f289d2a1,1555.94,1596.53,9,ufc_fights
http://www.ufcstats.com/fighter-details/baa5358456803df8,1549.25,1549.25,2,ufc_fights
http://www.ufcstats.com/fighter-details/f348d05403fad037,1413.48,1536.0,9,ufc_fights
http://www.ufcstats.com/fighter-details/4679a38cced7c64a,1476.28,1476.28,1,ufc_fights
http://www.ufcstats.com/fighter-details/253de74457bd6374,1440.9,1530.0,6,ufc_fights
http://www.ufcstats.com/fighter-details/8788beb528894f33,1470.0,1470.0,1,ufc_fights
http://www.ufcstats.com/fighter-details/13b2f59210dda9cc,1497.6,1567.04,4,ufc_fights
http://www.ufcstats.com/fighter-details/3fed746acfd026dd,1472.55,1472.55,1,ufc_fights
http://www.ufcstats.com/fighter-details/aae0897825336b1a,1482.88,1543.3,11,ufc_fights
http://www.ufcstats.com/fighter-details/b0c95dc8e858452c,1392.54,1546.09,11,ufc_fights
http://www.ufcstats.com/fighter-details/f54fb3b9c4228142,1465.97,1465.97,1,ufc_fights
http://www.ufcstats.com/fighter-details/31c01fbc2586a5eb,1495.92,1566.48,3,ufc_fights
http://www.ufcstats.com/fighter-details/312f47c3d2f83ffa,1468.8,1468.8,1,ufc_fights
http://www.ufcstats.com/fighter-details/91181b29be041f1c,1472.0,1472.0,1,ufc_fights
http://www.ufcstats.com/fighter-details/a220be6d41d6f97d,1490.34,1522.0,5,ufc_fights
http://www.ufcstats.com/fighter-details/4dc496aa0cfc0d95,1458.38,1478.38,2,ufc_fights
http://www.ufcstats.com/fighter-details/9b5b5a75523728f3,1503.2,1694.2,43,ufc_fights
http://www.ufcstats.com/fighter-details/f717b6002486f73f,1464.0,1464.0,1,ufc_fights
http://www.ufcstats.com/fighter-details/e06fd1260ac865a7,1433.75,1476.89,4,ufc_fights
http://www.ufcstats.com/fighter-details/fcaae0385b514f11,1505.93,1640.94,11,ufc_fights
http://www.ufcstats.com/fighter-details/13c4313ed0f744f3,1508.82,1508.82,2,ufc_fights
http://www.ufcstats.com/fighter-details/12458872d6afae1b,1436.22,1477.18,6,ufc_fights
http://www.ufcstats.com/fighter-details/e4bde462b043d3e1,1443.01,1530.02,12,ufc_fights
http://www.ufcstats.com/fighter-details/4e5bbc4566049cbf,1456.69,1480.6,2,ufc_fights
http://www.ufcstats.com/fighter-details/cedfdf8d423d500c,1585.91,1643.07,10,ufc_fights
http://www.ufcstats.com/fighter-details/20bd6c3e03c46ee6,1458.83,1478.0,2,ufc_fights
http://www.ufcstats.com/fighter-details/4c805f5f58a75df0,1528.15,1532.16,3,ufc_fights
http://www.ufcstats.com/fighter-details/f70144caea5c4c80,1467.84,1467.84,1,ufc_fights
http://www.ufcstats.com/fighter-details/b19fc66613dc75b9,1472.84,1530.17,7,ufc_fights
http://www.ufcstats.com/fighter-details/56f4b81ec4db61af,1469.83,1469.83,1,ufc_fights
http://www.ufcstats.com/fighter-details/1c2f2571b18791b6,1514.09,1591.55,6,ufc_fights
http://www.ufcstats.com/fighter-details/601cf40c09090853,1467.95,1467.95,1,ufc_fights
http://www.ufcstats.com/fighter-details/108afe61a26bcbf4,1467.33,1467.33,1,ufc_fights
http://www.ufcstats.com/fighter-details/b76ed59283d3559c,1417.03,1544.04,11,ufc_fights
http://www.ufcstats.com/fighter-details/6291ac0a3726732f,1455.72,1573.75,8,ufc_fights
http://www.ufcstats.com/fighter-details/a54a35a670d8e852,1522.02,1522.02,3,ufc_fights
http://www.ufcstats.com/fighter-details/2ee09ec2a0695eb9,1496.93,1549.59,5,ufc_fights
http://www.ufcstats.com/fighter-details/74fefd43f073cd2f,1470.0,1470.0,1,ufc_fights
http://www.ufcstats.com/fighter-details/706404da0775dcbc,1457.72,1470.55,2,ufc_fights
http://www.ufcstats.com/fighter-details/952f6fa06f25a0ec,1491.35,1595.67,16,ufc_fights
http://www.ufcstats.com/fighter-details/e62b36885ecdac27,1480.33,1538.58,6,ufc_fights
http://www.ufcstats.com/fighter-details/c96518b7f6881004,1465.96,1465.96,1,ufc_fights
http://www.ufcstats.com/fighter-details/a390eb8a9b2df298,1584.62,1773.57,26,ufc_fights
http://www.ufcstats.com/fighter-details/df2cf66d8c0123db,1476.0,1476.0,1,ufc_fights
http://www.ufcstats.com/fighter-details/8d26912cd2aeb366,1488.97,1588.48,16,ufc_fights
http://www.ufcstats.com/fighter-details/4512e46543b960ad,1477.57,1477.57,1,ufc_fights
http://www.ufcstats.com/fighter-details/bc7f7f0ba3db74d2,1449.35,1467.55,2,ufc_fights
http://www.ufcstats.com/fighter-details/4f74c8be51db8a37,1484.19,1528.89,10,ufc_fights
http://www.ufcstats.com/fighter-details/865aa315ea62c511,1465.73,1536.17,7,ufc_fights
http://www.ufcstats.com/fighter-details/d2b1c1317a39f6c6,1473.92,1531.2,3,ufc_fights
http://www.ufcstats.com/fighter-details/4c12aa7ca246e7a4,1446.76,1468.8,2,ufc_fights
http://www.ufcstats.com/fighter-details/7929be8290289a47,1544.83,1621.85,14,ufc_fights
http://www.ufcstats.com/fighter-details/e8efeb9cf33b1941,1531.2,1531.2,1,ufc_fights
http://www.ufcstats.com/fighter-details/7ca4c3f8aa8bacae,1468.8,1468.8,1,ufc_fights
http://www.ufcstats.com/fighter-details/e8c170a64dc920ac,1531.2,1531.2,1,ufc_fights
http://www.ufcstats.com/fighter-details/c6e6926a81adcd00,1468.8,1468.8,1,ufc_fights
http://www.ufcstats.com/fighter-details/a1f6999fe57236e0,1608.4,1802.51,40,ufc_fights
http://www.ufcstats.com/fighter-details/31652c9267606d54,1475.15,1475.15,1,ufc_fights
http://www.ufcstats.com/fighter-details/dc950d59dc590aca,1430.3,1530.0,8,ufc_fights
http://www.ufcstats.com/fighter-details/b44f39a5c6596953,1462.56,1626.94,18,ufc_fights
http://www.ufcstats.com/fighter-details/8f2d9ee27f206f1f,1540.58,1654.44,17,ufc_fights
http://www.ufcstats.com/fighter-details/a24e080000fa7a35,1470.0,1470.0,1,ufc_fights
http://www.ufcstats.com/fighter-details/03688dc3c3af3ac1,1550.96,1558.47,3,ufc_fights
http://www.ufcstats.com/fighter-details/44f9c777fed7ca03,1471.47,1471.47,1,ufc_fights
