fighter_url,pre_ufc_wins,pre_ufc_losses,pre_ufc_draws,pre_ufc_total_fights,age_at_estimate,estimated_initial_elo,elo_estimation_method,record_adjustment,win_rate_bonus,career_efficiency_adj,age_factor_adj,recency_adj,total_adjustment,org_quality_tier,primary_org,data_confidence
http://www.ufcstats.com/fighter-details/5e1062e066c601e6,14,8,1,23,31.0,1508.76,enhanced,-1.2,0,0.0,10.0,,8.8,,,medium
http://www.ufcstats.com/fighter-details/3c85e04b08a05751,7,1,0,8,37.0,1537.33,enhanced,17.3,35,-10.0,-5.0,,37.3,,,medium
http://www.ufcstats.com/fighter-details/5b43d68174b6e2ab,16,1,0,17,28.0,1583.64,enhanced,28.6,45,0.0,10.0,,83.6,,,medium
http://www.ufcstats.com/fighter-details/968764372c49eab6,13,3,0,16,,1536.86,enhanced,11.9,25,,,,36.9,,,medium
http://www.ufcstats.com/fighter-details/4a99978a0366bb29,11,4,0,15,,1513.08,enhanced,5.1,8,,,,13.1,,,medium
http://www.ufcstats.com/fighter-details/f43907e75f8d9baa,13,3,0,16,50.0,1511.86,enhanced,11.9,25,-10.0,-15.0,,11.9,,,medium
http://www.ufcstats.com/fighter-details/edc9eb3051f444fa,7,1,0,8,42.0,1517.33,enhanced,17.3,35,-20.0,-15.0,,17.3,,,medium
http://www.ufcstats.com/fighter-details/274ca7b799b402cc,8,0,0,8,38.0,1567.96,enhanced,33.0,60,-20.0,-5.0,,68.0,,,medium
http://www.ufcstats.com/fighter-details/39792c2f42c9f527,17,6,1,24,41.0,1489.52,enhanced,6.5,8,-10.0,-15.0,,-10.5,,,medium
http://www.ufcstats.com/fighter-details/4f1a48f4e6ffb007,13,5,0,18,39.0,1486.75,enhanced,3.8,8,-10.0,-15.0,,-13.2,,,medium
http://www.ufcstats.com/fighter-details/6b614bda982f5214,10,3,0,13,32.0,1523.24,enhanced,8.2,15,-10.0,10.0,,23.2,,,medium
http://www.ufcstats.com/fighter-details/a373085066dbfb54,14,5,0,19,36.0,1482.79,enhanced,4.8,8,-10.0,-5.0,-15.0,-17.2,,,medium
http://www.ufcstats.com/fighter-details/e5a898f2a1afec67,20,4,1,25,29.0,1555.56,enhanced,15.6,25,5.0,10.0,,55.6,,,medium
http://www.ufcstats.com/fighter-details/ee704df0afd74558,11,0,0,11,34.0,1587.27,enhanced,37.3,60,-10.0,0.0,,87.3,,,medium
http://www.ufcstats.com/fighter-details/8c21eb9fd7c4c203,8,1,0,9,30.0,1554.1,enhanced,19.1,35,-10.0,10.0,,54.1,,,medium
http://www.ufcstats.com/fighter-details/8b27d25ce0221d60,19,12,0,31,,1493.64,enhanced,-6.4,0,,,,-6.4,,,medium
http://www.ufcstats.com/fighter-details/de47c33e48b0ce38,7,2,0,9,40.0,1474.22,enhanced,9.2,15,-20.0,-15.0,-15.0,-25.8,,,medium
http://www.ufcstats.com/fighter-details/9b6dcc335ad03696,9,2,0,11,,1537.57,enhanced,12.6,25,,,,37.6,,,medium
http://www.ufcstats.com/fighter-details/869d68b5383131fd,13,0,0,13,37.0,1584.59,enhanced,39.6,60,-10.0,-5.0,,84.6,,,medium
http://www.ufcstats.com/fighter-details/6343a95f1d9e6a33,10,2,0,12,32.0,1539.0,enhanced,14.0,25,-10.0,10.0,,39.0,,,medium
http://www.ufcstats.com/fighter-details/e5864a42c80294f6,7,0,0,7,27.0,1591.19,enhanced,31.2,60,-10.0,10.0,,91.2,,,medium
http://www.ufcstats.com/fighter-details/501821d7fb7b95c1,17,1,0,18,37.0,1559.49,enhanced,29.5,45,-10.0,-5.0,,59.5,,,medium
http://www.ufcstats.com/fighter-details/11b5a809c3120e27,12,3,0,15,36.0,1505.75,enhanced,10.7,25,-10.0,-5.0,-15.0,5.7,,,medium
http://www.ufcstats.com/fighter-details/45c8fed13a62fe92,3,1,0,4,33.0,1501.93,enhanced,6.9,15,-20.0,0.0,,1.9,,,medium
